character	killed by	death	type
<100+> Sanctuary villagers	Great Rabbit | Roswaal L. Mathers	Burned themselves in the cathedral to escape being devoured by, or eventually eaten by the Great Rabbit, summoned by Roswaal L. Mathers (undone via Return by Death)	undone
<100+> Sanctuary villagers	Satella | Emilia	Swallowed by Satella's shadows, who was possessing Emilia (undone via Return by Death)	undone
<1> Guiltylowe	Elsa Granhiert	Sliced apart by Elsa Granhiert	
<1> Petelgeuse's Finger	Black Serpent | Pandora	Infected with multiple diseases by the Black Serpent, summoned by Pandora	
<1> Rock Pig	Garfiel Tinzel	Gutted by Garfiel Tinzel	
<2+> Great Rabbits	Emilia	Frozen by Emilia	
<200+> Great Rabbits	Beatrice | Natsuki Subaru	Skewered with icicles by Beatrice on orders from Natsuki Subaru (hundreds mentioned)	
<20> Ryuzu Meyer Copies	Roswaal L. Mathers	Incinerated by Roswaal L. Mathers (undone via Return by Death) (Web Novel only)	undone | non-canon
<21> Ryuzu Meyer Copies	Garfiel Tinzel | Satella | Emilia	Blew themselves up on orders from Garfiel Tinzel after being impaled by Satella, who was possessing Emilia (undone via Return by Death) (Web Novel only)	undone | non-canon
<3+> Great Rabbits	Natsuki Subaru	Crushed by Ryuzu Meyer Copies on orders from Natsuki Subaru (undone via Return by Death)	undone
<3+> villagers	Garfiel Tinzel	Massacred by Garfiel Tinzel (undone via Return by Death)	undone
<300+> Great Rabbits	Beatrice | Natsuki Subaru	Frozen and shattered by Beatrice on orders from Natsuki Subaru	
<4+> Great Rabbits	Natsuki Subaru	Blown up by Ryuzu Meyer Copies on orders from Natsuki Subaru (undone via Return by Death)	undone
<4+> witchbeasts	Frederica Baumann	Slaughtered by Frederica Baumann	
<5> Ryuzu Meyer Copies	Great Rabbit | Roswaal L. Mathers	Devoured by the Great Rabbit, summoned by Roswaal L. Mathers (undone via Return by Death) (Web Novel only)	undone | non-canon
<6+> Great Rabbits	Roswaal L. Mathers	Incinerated by Roswaal L. Mathers (undone via Return by Death)	undone
<6> Ryuzu Meyer Copies	Natsuki Subaru | Great Rabbit | Roswaal L. Mathers	Blew themselves up on orders from Natsuki Subaru after being mauled by the Great Rabbit, summoned by Roswaal L. Mathers (undone via Return by Death) (Web Novel only)	undone | non-canon
Archi Elior	Black Serpent | Pandora	Infected with multiple diseases by the Black Serpent, summoned by Pandora	
Beatrice	Elsa Granhiert | Roswaal L. Mathers	Stabbed through the back by Elsa Granhiert, hired by Roswaal L. Mathers (undone via Return by Death)	undone
Elsa Granhiert	Beatrice	Blasted into pieces with magic by Beatrice (revived by her Curse, undone via Return by Death)	revived | undone
Elsa Granhiert	Beatrice	Impaled with magic spears by Beatrice (revived by her Curse, undone via Return by Death) (Web Novel only)	revived | undone | non-canon
Elsa Granhiert	Garfiel Tinzel	Crushed by a Rock Pig thrown by Garfiel Tinzel (revived by her Curse)	revived
Elsa Granhiert	Otto Suwen | Petra Leyte	Incinerated inside the burning mansion set on fire by Otto Suwen and Petra Leyte	
