character	killed by	death	type
<1> Regulus Corneas' father	Regulus Corneas	Murdered by Regulus Corneas	
<1> Regulus Corneas' first wife	Regulus Corneas	Committed suicide due to being Regulus Corneas' wife	
<1> Regulus Corneas' mother	Regulus Corneas	Murdered by Regulus Corneas	
<1> demi-beast	Aldebaran	Slain by Aldebaran	
<1> demi-beast	Kurgan	Slain by Kurgan	
<1> demi-beast	Priscilla Barielle	Slain by Priscilla Barielle	
<2+> Regulus Corneas' first wife's family	Regulus Corneas	Murdered by Regulus Corneas	
<2+> country leaders	Regulus Corneas	Murdered by Regulus Corneas	
<2+> nearby town villagers	Regulus Corneas	Murdered by Regulus Corneas	
<2+> villagers	Regulus Corneas	Murdered by Regulus Corneas	
<2+> water dragons	Lye Batenkaitos	Slaughtered by Lye Batenkaitos	
<20+> people	Reinhard van Astrea | Natsuki Subaru | Sirius Romanée-Conti	Bisected by Reinhard van Astrea, inadvertently on request from Natsuki Subaru, via Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
<20+> people	Sirius Romanée-Conti	Head splattered via Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
<238> Regulus Corneas' wives	Regulus Corneas	Murdered by or deaths caused by Regulus Corneas	
<2> Regulus Corneas' brothers	Regulus Corneas	Murdered by Regulus Corneas	
<3+> demi-beasts	Aldebaran	Slain by Aldebaran	
<3+> demi-beasts	Garfiel Tinzel | Kurgan	Slain by Garfiel Tinzel and Kurgan	
<3+> demi-beasts	Priscilla Barielle	Slain by Priscilla Barielle	
<3> demi-beasts	Julius Juukulius | Natsuki Subaru	Slain by Julius Juukulius and Natsuki Subaru	
<9> members of the Council of Ten	Aldebaran	Murdered by Aldebaran	
Carlan Astrea		Slain in the Demi-Human War	
Casilles Astrea		Slain in the Demi-Human War	
Fribal van Astrea		Slain in the Demi-Human War	
Kurgan	Garfiel Tinzel	Faded into dust after having his throat bitten out by Garfiel Tinzel	
Lusbel Kallard	Reinhard van Astrea | Natsuki Subaru | Sirius Romanée-Conti	Bisected by Reinhard van Astrea, inadvertently on request from Natsuki Subaru, via Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
Lusbel Kallard	Sirius Romanée-Conti	Head splattered after being thrown off a tower by Sirius Romanée-Conti (undone via Return by Death)	undone
Lusbel Kallard	Sirius Romanée-Conti	Suffered a heart attack due to intense fear caused by Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
Natsuki Subaru	Reinhard van Astrea | Natsuki Subaru | Sirius Romanée-Conti	Bisected by Reinhard van Astrea, inadvertently on request from himself, via Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
Natsuki Subaru	Sirius Romanée-Conti	Head splattered via Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
Natsuki Subaru	Sirius Romanée-Conti	Suffered a heart attack due to intense fear caused by Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
Pandora	Theresia van Astrea	Sliced in half by Theresia van Astrea (undone via her Authority of Vainglory)	undone
Rachins Hoffman	Reinhard van Astrea | Natsuki Subaru | Sirius Romanée-Conti	Bisected by Reinhard van Astrea, inadvertently on request from Natsuki Subaru, via Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
Rachins Hoffman	Sirius Romanée-Conti	Head splattered via Sirius Romanée-Conti's Authority of Wrath (undone via Return by Death)	undone
Regulus Corneas	Reinhard van Astrea | Natsuki Subaru | Emilia	Drowned after being buried underwater by Reinhard van Astrea, invincibility removed by Natsuki Subaru and Emilia	
Reinhard van Astrea	Reinhard van Astrea | Regulus Corneas	Let himself be struck down by Regulus Corneas (instantly revived by the Divine Protection of the Phoenix)	revived
Sirius Romanée-Conti	Reinhard van Astrea | Natsuki Subaru	Bisected by Reinhard van Astrea on request from Natsuki Subaru (undone via Return by Death)	undone
Thames Astrea		Slain in the Demi-Human War	
Theresia van Astrea	Pandora	Murdered by Pandora (later reanimated by the Witch Cult)	undead
Theresia van Astrea	Reinhard van Astrea	Faded into dust after being cut down by Reinhard van Astrea	
