character	killed by	death	type
<1,000+> demi-human troops	Theresia van Astrea	Slain by Theresia van Astrea during the Battle of the Trias Domain	
<1> demi-human ambusher	Wilhelm Trias	Slain by Wilhelm Trias	
<2> commanding officers	Wilhelm Trias	Slain by Wilhelm Trias during the Battle of Redonas Plateau	
<300+> demi-human troops	Wilhelm Trias	Slain by Wilhelm Trias during the Battle of the Trias Domain	
<68> other Zergev Squadron men	Libre Fermi | Valga Cromwell | Sphinx	Slain during the Battle of Aihiya Swamp led by Libre Fermi, Valga Cromwell and Sphinx	
<6> soldiers	Sphinx	Murdered by Sphinx	
<88> members of a demi-human squadron	Wilhelm Trias	Slain by Wilhelm Trias during the Battle of Castour Field	
<98+> Lugunica forces	Valga Cromwell | Sphinx	Wiped out during the Battle of Castour Field led by Valga Cromwell and Sphinx	
Libre Fermi	Bordeaux Zergev	Turned into ash after being damaged by Bordeaux Zergev	
Libre Fermi	Sphinx	Murdered with a barrage of spells by Sphinx (reanimated by Sphinx)	undead
Pivot Arnancy	Bordeaux Zergev | Grimm Fauzen	Put down by Bordeaux Zergev after being incapacitated by Grimm Fauzen	
Pivot Arnancy	Libre Fermi | Valga Cromwell | Sphinx	Slain by Libre Fermi while immobilized by a magic circle setup by Valga Cromwell and Sphinx (reanimated by Sphinx)	undead
Tholter Weasily		Died in the Demi-Human War (reanimated by Sphinx)	undead
Tholter Weasily	Grimm Fauzen | Wilhelm Trias	Cut down by Grimm Fauzen on request from Wilhelm Trias	
