character	killed by	death	type
<1> gladiator	Gaius | Miles	Slain by Gaius on orders from Miles	
<1> shinobi	Aldebaran	Slain by Aldebaran	
<200+> Pruning Corpse soldiers	Cecilus Segmunt | Vincent Abellux	Slaughtered by Cecilus Segmunt on orders from Vincent Abellux (hundreds mentioned)	
<3+> assassins	Arakiya | Prisca Benedict	Incinerated by Arakiya on orders from Prisca Benedict	
Auran	Ubilk	Murdered by Ubilk	
Barthroy Fitts	Lamia Godwin	Poisoned by Lamia Godwin	
Drizen Vollachia	Drizen Vollachia	Let himself be incinerated by the Yang Sword	
Ghajit	Aldebaran	Skewered through the stomach by Aldebaran	
Hornet	Aldebaran | Arakiya	Succumbed to a poison cloud setup by Aldebaran and Arakiya (later reanimated by Sphinx)	undead
Jorah Pendleton	Goz Ralfon	Executed by Goz Ralfon after having been framed for conspiracy	
Lamia Godwin	Prisca Benedict	Struck down by Prisca Benedict (later reanimated by Sphinx)	undead
Palladio Manesque	Prisca Benedict	Decapitated by Prisca Benedict (later reanimated by Sphinx)	undead
Priscilla		Assassinated via poison before the start of the Imperial Selection Ceremony	
Rommel		Incinerated by the Yang Sword	
{792} Aldebaran	Hornet	Murdered by Hornet (undone via Al's Domain)	undone
