character	killed by	death	type
<1> governor	Regulus Corneas	Slain by Regulus Corneas	
<2+> governor's aides	Regulus Corneas	Slain by Regulus Corneas (plural)	
<2,000+> soldiers	Regulus Corneas	Slain by Regulus Corneas (thousands mentioned)	
<250> knights	Valgren | Stride Vollachia	Annihilated by Valgren, summoned by Stride Vollachia	
<9,000+> other demi-human troops	Theresia van Astrea	Slain by Theresia van Astrea during the Demi-Human War	
Kurgan	Regulus Corneas	Slain by Regulus Corneas (later reanimated by the Witch Cult)	undead
Melinda	Valgren	Torn to pieces and devoured by Valgren	
Raizo	Clind	Crushed to death by Clind	
Roswaal J. Mathers	Shasuke | Stride Vollachia | Roswaal J. Mathers	Sacrificed herself by taking a blow from Shasuke, who was under orders from Stride Vollachia (soul transferred to Roswaal K. Mathers)	physical
Shasuke	Carol Remendis	Bisected by Carol Remendis	
Stride Vollachia	Valgren	Torn to pieces and devoured by Valgren	
Valgren	Volcanica | Clind | Gionis Lugunica	Scorched to ashes by Volcanica, possessed by Clind, summoned by Gionis Lugunica (later reanimated by Sphinx)	undead
Veltol Astrea	Carol Remendis | Stride Vollachia	Slashed by Carol Remendis while controlled by Stride Vollachia	
