character	killed by	death	type
Kurisu Makise	Rintaro Okabe	Accidentally stabbed in the stomach by Rintaro Okabe (1.130205β World Line - 2nd Iteration)	alternate
Mayuri Shiina		Accidentally shot in the head by a policeman (0.337187α World Line - 7th Iteration)	alternate
Mayuri Shiina		Died from a heart attack (0.456914α World Line - 5th Iteration)	alternate
Mayuri Shiina		Died from unknown causes (0.571046α World Line - 3rd Iteration - Kurisu's Ending)	alternate
Mayuri Shiina		Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	alternate
Mayuri Shiina		Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	alternate
Mayuri Shiina		Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	alternate
Mayuri Shiina		Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	alternate
Mayuri Shiina		Gelified after being forcefully sent through time by the SERN (0.337187α World Line - 4th Iteration)	alternate
Mayuri Shiina	FB	Kidnapped and murdered by the Rounders on orders from FB (0.456914α World Line - 1st Iteration)	alternate
Mayuri Shiina	FB	Murdered in a hit and run by the Rounders on orders from FB (0.571046α World Line - 2nd Iteration)	alternate
Mayuri Shiina	FB	Ran over by a car while being pursued by the Rounders on orders from FB (0.337187α World Line - 3rd Iteration)	alternate
Mayuri Shiina	FB	Stabbed by a Rounder on orders from FB (0.337187α World Line - 6th Iteration)	alternate
Mayuri Shiina	Rintaro Okabe	Died from unknown causes after Rintaro Okabe decides to stop attempting to save her (0.456914α World Line - 4th Iteration - Luka's Ending)	alternate
Mayuri Shiina	Moeka Kiryu | FB	Shot in the head by Moeka Kiryu on orders from FB (0.337187α World Line - 1st Iteration)	alternate
Mayuri Shiina	Moeka Kiryu | FB	Shot in the head by Moeka Kiryu on orders from FB (0.337187α World Line - 2nd Iteration)	alternate
Mayuri Shiina	Moeka Kiryu | FB	Shot in the head by Moeka Kiryu on orders from FB (0.409431α World Line - 1st Iteration)	alternate
Mayuri Shiina	Nae Tennouji	Accidentally pushed in front of a train by Nae Tennouji (0.337187α World Line - 5th Iteration)	alternate
Moeka Kiryu	Moeka Kiryu	Jumped off a roof (0.523307α World Line - 1st Iteration)	alternate
Moeka Kiryu	Nae Tennouji	Stabbed by an insane Nae Tennouji (0.523307α World Line - 6th Iteration)	alternate
Moeka Kiryu	Yuugo Tennouji	Shot in the chest by Yuugo Tennouji (0.523307α World Line - 6th Iteration - anime only)	alternate
Rintaro Okabe	Nae Tennouji	Murdered by Nae Tennouji in the future (0.523307α World Line - 6th Iteration)	alternate
Suzuha Amane		Died from an illness (0.409431α World Line)	alternate
Suzuha Amane	Suzuha Amane	Hanged herself at home (0.337187α World Line - 12th Iteration)	alternate
Yukitaka Akiha		Died in a plane accident (0.456914α World Line)	alternate
Yuugo Tennouji	Yuugo Tennouji	Shot himself in the head (0.523307α World Line - 6th Iteration)	alternate
Yuugo Tennouji	Yuugo Tennouji	Shot himself in the head (0.523307α World Line - 7th Iteration)	alternate
