character	killed by	death	type	chapter
The Adversary	The Hero | The Adversary | The Narrator	Let herself be stabbed in the heart by the Hero on orders from the Narrator to prove her immortality (revived due to being perceived as immortal)	revived	Chapter II: The Adversary / That Which Cannot Die Cannot Die...
The Adversary	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived due to being perceived as immortal)	revived	Chapter II: The Adversary / That Which Cannot Die Cannot Die...
The Beast	The Hero | The Narrator	Stabbed in the heart from within by the Hero on orders from the Narrator (revived in the next Construct as the Wild)	revived	Chapter II: The Beast / Consumption / Path to the Wild
The Cage	The Hero | The Narrator	Body stabbed in the heart by the Hero on orders from the Narrator (head remains alive)	revived	Chapter III: The Cage / The Riddle of Steel
The Cage	The Hero | The Narrator	Body stabbed in the heart by the Hero's body controlled by the Voices, presumably on orders from the Narrator (head remains alive)	revived	Chapter III: The Cage / No Exit
The Damsel	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived in the next Construct as the Grey)	revived	Chapter II: The Damsel / Ladykiller
The Eye of the Needle	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter III: The Eye of the Needle / Flight / A Wide Open Field
The Fury	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter III: The Fury / Going the Distance
The Fury	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter III: The Fury / Quantum Beak
The Fury	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter III: The Fury / Thirty-Trillion Cells / That's All I Have / A Hint of Feeling
The Hero	The Adversary	Beaten to death by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / Heeeeeere's Princess! (armed)
The Hero	The Adversary	Fatally wounded by the Adversary (revived by the Voice of the Stubborn)	revived	Chapter II: The Adversary / That Which Cannot Die Cannot Die...
The Hero	The Adversary	Head punched off by the Adversary (revived by the Voice of the Stubborn)	revived	Chapter II: The Adversary / I Didn't Hear No Bell
The Hero	The Adversary	Hit with her elbow by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / Freeing Someone Who Doesn't Want to Be Freed
The Hero	The Adversary	Hunted down and murdered by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / Dead is Dead
The Hero	The Adversary	Kicked to death by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / Heeeeeere's Princess! (unarmed)
The Hero	The Adversary	Neck cracked by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / Strike Me Down...
The Hero	The Adversary	Punched by the Adversary (revived by the Voice of the Stubborn)	revived	Chapter II: The Adversary / I Didn't Hear No Bell
The Hero	The Adversary	Punched by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / Strike Me Down...
The Hero	The Adversary	Punched in the head by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / I Didn't Hear No Bell
The Hero	The Adversary	Squished by the Adversary (revived in the next Construct)	revived	Chapter II: The Adversary / Threading Through
The Hero	The Beast	Digested after being devoured by the Beast (revived in the next Construct)	revived	Chapter II: The Beast / Consumption / Path to the Wild
The Hero	The Beast	Digested after being devoured by the Beast and slaying her from within (revived in the next Construct)	revived	Chapter II: The Beast / Consumption / Path to the Wild
The Hero	The Beast	Intestines strung out after being mauled by the Beast (revived in the next Construct)	revived	Chapter II: The Beast / Fight
The Hero	The Beast	Lower half devoured by the Beast (revived in the next Construct)	revived	Chapter II: The Beast / Flight
The Hero	The Cage	Decapitated and body stabbed in the heart by the Cage's body (head remains alive)	revived	Chapter III: The Cage / No Exit
The Hero	The Fury | The Hero	Unwound by the Fury, allowed himself to die via the Voice of the Stubborn (immediately revived in the Cabin)	revived	Chapter III: The Fury / Quantum Beak
The Hero	The Hero	Accidentally erased himself alongside the world (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Go to The Cabin
The Hero	The Hero	Erased his own consciousness after giving up existence (dependent on player choice)	determinant	The Spaces Between / Just As You Once Were Nothing
The Hero	The Hero	Forced to pull his own ribcage open by the Voice of the Smitten (revived in the next Construct)	revived	Chapter II: The Damsel / Free the Princess / Contents of Our Heart
The Hero	The Hero	Forced to stab himself in the heart by the Voice of the Smitten (revived in the next Construct)	revived	Chapter II: The Damsel / Ladykiller
The Hero	The Hero	Heart stopped by the Voice of the Skeptic (revived in the next Construct)	revived	Chapter II: The Prisoner / Coldly Rational
The Hero	The Hero	Heart stopped by the Voice of the Skeptic (revived in the next Construct)	revived	Chapter II: The Prisoner / Restless Thoughts
The Hero	The Hero	Stabbed himself in the chest (revived in the next Construct)	revived	Chapter III: The Arms Race / Slaying yourself
The Hero	The Hero	Stabbed himself in the chest under suggestion from the Voice of the Contrarian (revived in the next Construct)	revived	Chapter III: No Way Out / The Princess skewers you again and again
The Hero	The Hero	Stabbed himself in the chest under suggestion from the Voice of the Contrarian (revived in the next Construct)	revived	Chapter III: The Arms Race / The Princess skewers you again and again
The Hero	The Hero	Stabbed himself in the heart (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Nerves Steeled / Reject Your Reward
The Hero	The Hero	Stabbed himself in the heart in order to exorcise the Spectre (revived in the next Construct)	revived	Chapter II: The Spectre / Accepted Possession / The Exorcist
The Hero	The Hero	Stabbed himself in the heart on request from the Voice of the Skeptic (revived in the next Construct)	revived	Chapter II: The Prisoner / Coldly Rational
The Hero	The Hero	Stabbed himself in the heart on request from the Voice of the Skeptic (revived in the next Construct)	revived	Chapter II: The Prisoner / Restless Thoughts
The Hero	The Hero	Throat slit by the Voice of the Skeptic (revived in the next Construct)	revived	Chapter II: The Prisoner / Coldly Rational
The Hero	The Hero	Throat slit by the Voice of the Skeptic (revived in the next Construct)	revived	Chapter II: The Prisoner / Restless Thoughts
The Hero	The Hero | The Beast	Committed suicide after being devoured by the Beast (revived in the next Construct)	revived	Chapter II: The Beast / Consumption / Path to the Wild
The Hero	The Hero | The Nightmare	Committed suicide after being pushed in the endless void by the Nightmare (revived in the next Construct)	revived	Chapter II: The Nightmare / Terminal Velocity (armed)
The Hero	The Hero | The Nightmare	Committed suicide after being trapped in the endless void by the Nightmare (revived in the next Construct)	revived	Chapter II: The Nightmare / House of... No... Leave (armed)
The Hero	The Hero | The Shifting Mound	Forced to stab himself in the heart by the Shifting Mound (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Nerves Steeled / Accept Your Reward
The Hero	The Hero | The Tower	Slit his own throat while controlled by the Tower (revived in the next Construct)	revived	Chapter II: The Tower / Her Apotheosis (armed)
The Hero	The Nightmare	Died of natural causes after being pushed in the endless void by the Nightmare (revived in the next Construct)	revived	Chapter II: The Nightmare / Terminal Velocity (unarmed)
The Hero	The Nightmare	Died of natural causes after being trapped in the endless void by the Nightmare (revived in the next Construct)	revived	Chapter II: The Nightmare / House of... No... Leave (unarmed)
The Hero	The Nightmare	Erased by the overwhelming feelings of loneliness of the Nightmare (revived in the next Construct)	revived	Chapter II: The Nightmare / A Monolith of Fear
The Hero	The Princess	Erased alongside the world by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Go Back Upstairs / Inspect the Arm (Door Unlocked)
The Hero	The Princess	Eviscerated by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Save the Princess / Betray the Princess (Success)
The Hero	The Princess	Fatally wounded by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Save the Princess / Betray the Princess (Success) (alternative)
The Hero	The Princess	Fatally wounded by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Slay the Princess / Fight the Princess
The Hero	The Princess	Organs shut down out of fear of the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Go Back Upstairs / Lock the Princess Away
The Hero	The Princess	Organs shut down out of fear of the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Save the Princess / Lock the Princess Away
The Hero	The Princess	Organs shut down out of fear of the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Leave Her in the Basement
The Hero	The Princess	Organs shut down out of fear of the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Slay the Princess / Run Away from the Princess
The Hero	The Princess	Stabbed by the Princess with her own Pristine Blade (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Nerves Steeled / Doubt Your Victory
The Hero	The Princess	Stabbed multiple times by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Save the Princess / Rescue the Princess
The Hero	The Princess	Throat slit by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Save the Princess / Resist
The Hero	The Princess	Throat slit by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Slay the Princess / Slay the 'Unarmed' Princess
The Hero	The Princess	Torn apart by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Save the Princess / Betray the Princess (Failure)
The Hero	The Princess	Torn limb from limb by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Go Back Upstairs / Inspect the Arm (Door Locked)
The Hero	The Princess	Windpipe crushed with her knee by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Save the Princess / Slay the Princess
The Hero	The Princess	Windpipe crushed with her knee by the Princess (revived in the next Construct)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Slay the Princess / Submit to the Princess
The Hero	The Princess | The Hero	Let himself be stabbed in the heart by the Princess (revived in the next Construct)	revived	The End of Everything / The Heart of the Shifting Mound / You're on a Path in the Woods... (Princess)
The Hero	The Razor	Impaled by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter II: The Razor / Save the Princess ?
The Hero	The Razor	Impaled by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter II: The Razor / Slay the Princess ?
The Hero	The Razor	Impaled by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter II: The Razor / Time's Up !
The Hero	The Razor	Right arm severed and impaled by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter II: The Razor / Abandon the Princess ? (armed)
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Appealing to her better nature
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Choosing not to feel anything
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Dodging
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Fighting
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Flirting
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Panicking
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Surrendering
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / The Princess skewers you again and again
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: No Way Out / Thinking of something different
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / Appealing to her better nature
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / Choosing not to feel anything
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / Fighting
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / Flirting
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / Panicking
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / Surrendering
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / The Princess skewers you again and again
The Hero	The Razor	Skewered by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter III: The Arms Race / Thinking of something different
The Hero	The Razor	Skewered through the back by the Razor with a concealed blade (revived in the next Construct)	revived	Chapter II: The Razor / Abandon the Princess ? (unarmed)
The Hero	The Spectre	Heart ripped out by the Spectre (revived in the next Construct)	revived	Chapter II: The Spectre / Heart-ripper
The Hero	The Stranger | The Hero	Let himself be stabbed in the heart by the Stranger (revived in the next Construct)	revived	The End of Everything / The Heart of the Shifting Mound / You're on a Path in the Woods... (Stranger)
The Hero	The Tower	Heart forcibly stopped by the Tower (revived in the next Construct)	revived	Chapter II: The Tower / Her Apotheosis (unarmed)
The Hero	The Tower | The Hero	Smashed into the floor by the Tower after stabbing himself multiple times in the lungs while controlled by her (revived in the next Construct)	revived	Chapter II: The Tower / Godkiller
The Hero	The Witch	Crushed by the wilds of the Cabin controlled by the Witch (revived in the next Construct)	revived	Chapter II: The Witch / Knives Out and Masks Off
The Hero	The Witch	Crushed by the wilds of the Cabin controlled by the Witch (revived in the next Construct)	revived	Chapter II: The Witch / Playing It Safe
The Hero	The Witch	Stabbed in the heart by the Witch (revived in the next Construct)	revived	Chapter II: The Witch / Past Life Gambit
The Narrator	The Apotheosis	Erased alongside the world by the Apotheosis		Chapter III: The Apotheosis / A Goddess Unraveled
The Narrator	The Apotheosis	Erased alongside the world by the Apotheosis		Chapter III: The Apotheosis / A Window to the Unknown
The Narrator	The Apotheosis	Incinerated with a scorching beam by the Apotheosis		Chapter III: The Apotheosis / Something to Remember You By
The Narrator	The Beast	Erased alongside the world by the Beast		Chapter II: The Beast / Consumption / Dissolving Will
The Narrator	The Cage | The Hero	Erased alongside the world by the Cage's head when she was carried outside by the Hero		Chapter III: The Cage / Breaking the Cycle / Allegory of the Cage
The Narrator	The Damsel | The Hero	Erased alongside the world by the Damsel when she was led outside by the Hero		Chapter II: The Damsel / Free the Princess / Romantic Haze
The Narrator	The Den | The Hero	Erased alongside the world by the Den when she was helped outside by the Hero		Chapter III: The Den / Flight / The Lion and the Mouse
The Narrator	The Eye of the Needle | The Hero	Erased alongside the world by the Eye of the Needle when she was led outside by the Hero		Chapter III: The Eye of the Needle / Flight / A Wide Open Field
The Narrator	The Eye of the Needle | The Hero	Erased alongside the world by the Eye of the Needle when she was led outside by the Hero		Chapter III: The Eye of the Needle / Flight / The Blind Leading the Blind
The Narrator	The Fury	Erased by the Fury while she was combining with the Hero		Chapter III: The Fury / Thirty-Trillion Cells / Held in Ribbons / A Familiar, Though Distant, Towering Heart, Wounded and Alone
The Narrator	The Fury	Erased by the Fury while she was combining with the Hero		Chapter III: The Fury / Thirty-Trillion Cells / Held in Ribbons / A Home You've Forgotten, But One That Never Left Your Heart
The Narrator	The Fury	Erased by the Fury while she was disintegrating the Hero		Chapter III: The Fury / Going the Distance
The Narrator	The Fury | The Hero	Erased alongside the world by the Fury when she was led outside by the Hero		Chapter III: The Fury / Thirty-Trillion Cells / That's All I Have / A New Leaf in a Weathered Book
The Narrator	The Hero	Erased alongside the world by the Hero		Chapter IV: Mutually Assured Destruction
The Narrator	The Hero	Erased alongside the world by the Hero		Chapter IV: The Empty Cup
The Narrator	The Hero | The Wild	Erased alongside the world when the Hero and the Wild shattered the surface of their cage		Chapter III: The Wild / A Glimpse of Something Bigger
The Narrator	The Moment of Clarity | The Hero	Erased alongside the world by the Moment of Clarity when she was led outside by the Hero against his will		Chapter ???: The Moment of Clarity / The Moment of Clarity
The Narrator	The Narrator	Took his own life to become the Narrator	physical	
The Narrator	The Nightmare	Erased by the overwhelming feelings of loneliness of the Nightmare		Chapter II: The Nightmare / A Monolith of Fear
The Narrator	The Nightmare | The Hero	Erased alongside the world by the Nightmare when she was led outside by the Hero		Chapter II: The Nightmare / A World of Terror
The Narrator	The Princess | The Dragon	Erased alongside the world when the Princess and the Dragon combined		Chapter III: The Princess and the Dragon / The Princess and the Dragon
The Narrator	The Princess | The Hero	Erased alongside the world by the Princess when she was led outside by the Hero		Chapter III: The Princess and the Dragon / What Once Was One, Then Was Two
The Narrator	The Princess | The Hero | The Narrator	Let himself be erased alongside the world by the Princess when she was led outside by the Hero		Epilogue: Happily Ever After / I Meant It
The Narrator	The Prisoner | The Hero	Erased alongside the world by the Prisoner when she was carried outside by the Hero		Chapter II: The Prisoner / Talking Heads
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Adversary as Her vessel		Chapter II: The Adversary / That Which Cannot Die Cannot Die...
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Cage's head as Her vessel		Chapter III: The Cage / Breaking the Cycle / Free Will
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Cage's head as Her vessel		Chapter III: The Cage / No Exit
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Cage's head as Her vessel		Chapter III: The Cage / The Riddle of Steel
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Damsel as Her vessel		Chapter II: The Damsel / Free the Princess / And They Lived Happily Ever After
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Den as Her vessel		Chapter III: The Den / Fight / Heroic Strike
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Den as Her vessel		Chapter III: The Den / Fight / She Eats, He Eats, She Eats, He Eats...
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Den as Her vessel		Chapter III: The Den / Flight / Coup de grâce
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Den as Her vessel		Chapter III: The Den / Flight / Hunger Pangs
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Den as Her vessel		Chapter III: The Den / Unanswered Questions / Failed Fight
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Den as Her vessel		Chapter III: The Den / Unanswered Questions / Failed Flee
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Den as Her vessel		Chapter III: The Den / Unanswered Questions / Prey Again
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Eye of the Needle as Her vessel		Chapter III: The Eye of the Needle / Flight / Caught (armed)
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Eye of the Needle as Her vessel		Chapter III: The Eye of the Needle / Flight / Caught (unarmed)
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Eye of the Needle as Her vessel		Chapter III: The Eye of the Needle / Insufficient Space
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Fury as Her vessel		Chapter III: The Fury / Quantum Beak
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Fury as Her vessel		Chapter III: The Fury / Thirty-Trillion Cells / That's All I Have / A Hint of Feeling
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Fury as Her vessel		Chapter III: The Fury / Thirty-Trillion Cells / That's All I Have / Abandonment
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Grey as Her vessel		Chapter III: The Grey / And All This Longing...
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Grey as Her vessel		Chapter III: The Grey / Burning Down the House
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Princess as Her vessel		Chapter III: The Princess and the Dragon / An Opportunist at Heart
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Princess as Her vessel		Epilogue: Happily Ever After / It's Finally Over
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Princess as Her vessel		Epilogue: Happily Ever After / We Don't Have to Let It Go Out
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Prisoner as Her vessel		Chapter II: The Prisoner / Prison of the Mind
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Stranger as Her vessel		Chapter II: The Stranger / The Illusion of Choice
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Thorn as Her vessel		Chapter III: The Thorn / Abandonment
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Thorn as Her vessel		Chapter III: The Thorn / Trust Issues
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Tower as Her vessel		Chapter II: The Tower / Your Obedient Servant
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Wild as Her vessel		Chapter III: The Wild / The Wound / Save the Princess
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Wild as Her vessel		Chapter III: The Wild / The Wound / Slay the Princess
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Witch as Her vessel		Chapter II: The Witch / The Scorpion & the Frog / The Frog (Immobilized)
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Witch as Her vessel		Chapter II: The Witch / The Scorpion & the Frog / The Scorpion
The Narrator	The Shifting Mound	Erased alongside the world when the Shifting Mound claimed the Wraith as Her vessel		Chapter III: The Wraith / The Exorcist III
The Narrator	The Spectre | The Hero	Erased alongside the world by the Spectre when she was led outside by the Hero		Chapter II: The Spectre / Accepted Possession / Hitchhiker
The Narrator	The Thorn | The Hero	Erased alongside the world by the Thorn when she was led outside by the Hero		Chapter III: The Thorn / Turning Over a New Leaf
The Narrator	The Witch	Erased alongside the world when the Witch left the Cabin		Chapter II: The Witch / The Scorpion & the Frog / The Frog (Door Slammed on You)
The Narrator	The Wraith | The Hero	Erased alongside the world by the Wraith when she was led outside by the Hero against his will		Chapter III: The Wraith / The Passenger
The Nightmare	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived in the next Construct as the Wraith)	revived	Chapter II: The Nightmare / House of... No... Leave
The Nightmare	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived in the next Construct as the Wraith)	revived	Chapter II: The Nightmare / Terminal Velocity
The Princess	The Hero | The Narrator	Fatally wounded by the Hero on orders from the Narrator (revived in the next Construct as the Witch)	revived	Chapter I: The Hero and the Princess / Do Not Take the Pristine Blade / Save the Princess / Betray the Princess (Success) (alternative)
The Princess	The Hero | The Narrator	Stabbed in the chest by the Hero on orders from the Narrator (revived in the next Construct as the Adversary)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Slay the Princess / Fight the Princess
The Princess	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (dependent on player choice)	determinant	The End of Everything / The Heart of the Shifting Mound / A New and Unending Dawn (Princess)
The Princess	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Epilogue: Happily Ever After / It's Finally Over
The Princess	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived in the next Construct as the Razor)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Drop the Blade / Slay the Princess / Slay the 'Unarmed' Princess
The Princess	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived in the next Construct as the Razor)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Nerves Steeled / Doubt Your Victory
The Princess	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived in the next Construct as the Spectre)	revived	Chapter I: The Hero and the Princess / Take the Pristine Blade / Nerves Steeled
The Prisoner	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived in the next Construct as the Grey)	revived	Chapter II: The Prisoner / Coldly Rational
The Prisoner	The Prisoner | The Hero	Decapitated herself after being given the Pristine Blade by the Hero (revived in the next Construct as the Cage)	revived	Chapter II: The Prisoner / Restless Thoughts
The Razor	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter IV: Mutually Assured Destruction / Water and Steel
The Razor	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter IV: The Empty Cup / Water and Steel
The Razor	The Razor | The Hero | The Narrator	Destroyed herself while fighting the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter IV: Mutually Assured Destruction / Be Formless, Shapeless
