character	killed by	death	type
<1> colleague	Arthur Blythe	Stabbed by Arthur Blythe	
<1> goat	Koi Nagasai	Poisoned with moondrift by Koi Nagasai	
<1> hatchling	Declan Astor	Overheated after having been forgotten in the incubator room by Declan Astor	
<1> unnamed Czar gangster	Oriel Toussaint | Echo Secunda	Crushed by a water tower collapsed by Oriel Toussaint while his mind was overwritten by Echo Secunda	
Ada Baker		Died of natural causes	
Ansel Marsh	Ivan Kearns	Shot with a gun by Ivan Kearns	
Antoine Spilsbury	Ivan Kearns	Poisoned with Faraxin by Ivan Kearns	
Arthur Blythe	Tesa Nevari	Fell off a balcony after Tesa Nevari sprayed hair spray in his face and pulled the rug he was standing on	
Bruce Myson	Luke Brown | Hunter Wolf	Mind overwritten by Luke Brown's, caused by Hunter Wolf using the I.D.O.L.	
Cyrille Amiot	Ada Baker	Poisoned with Primodil salt by Ada Baker	
Danizi Ackai	Lutri Manzek | Ori Nagasai | Koi Nagasai	Executed on orders from King Lutri Manzek, under advisement of Ori Nagasai and Koi Nagasai	
Darren Dixon	Dirty William | Hunter Wolf	Mind overwritten by Dirty William's, caused by Hunter Wolf using the I.D.O.L.	
Declan Astor		Pecked by a Masked Grouse	
Dirty William	Hunter Wolf	Drained of his memories by Hunter Wolf using the I.D.O.L. (memories transferred into Darren Dixon's body)	physical
Eleazar Garner	Stefan Garner	Mauled by Stefan Garner	
Elijah Sinclair	Luke Brown | Hunter Wolf	Mind overwritten by Luke Brown's, caused by Hunter Wolf using the I.D.O.L.	
Gabriel Girard	Harry Stone | Hunter Wolf	Mind overwritten by Harry Stone's, caused by Hunter Wolf using the I.D.O.L.	
Gresto Nozi	Koi Nagasai	Blasted and bludgeoned with a fire extinguisher by Koi Nagasai	
Harry Stone	Hunter Wolf	Drained of his memories by Hunter Wolf using the I.D.O.L. (memories transferred into Gabriel Girard's body)	physical
Heco Sift	Mr. Blue | Mr. Green	Shot by Mr. Blue and Mr. Green after having his memories drained by them using the Golden Idol (memories later transferred into Oriel Toussaint's body)	physical
Isaac Nowak	Jack Nowak	Drained of his memories by Jack Nowak using the I.D.O.L. (memories transferred into Jack Nowak's body)	physical
Ivan Kearns	Ivan Kearns	Drowned in an aircraft crash he accidentally caused	
Jack Nowak	Isaac Nowak | Jack Nowak	Mind overwritten by Isaac Nowak's, caused by himself using the I.D.O.L.	
Jacques Triton	Ada Baker	Poisoned with Primodil salt by Ada Baker	
Jimpo Jenkins	Walter Keene	Stabbed by Walter Keene	
