character	killed by	death	type
<1,000+> people	Bloodstream	Murdered by Bloodstream (four-digit body count mentioned)	
<101> Stanford, Nevada inhabitants	James Poole | Eva Fabre	Murdered or made to murder each others by James Poole, caused by Eva Fabre's Elixir Experiments (half of 202 mentioned)	
<125+> Anti-Mechron Front Genomes	Mechron	Died fighting Mechron's robot army (one in four mentioned, forces stated to be 500+ people)	
<12> Meta-Gang members	Mortimer | Vulcan | Pluto | Augustus	Slain by Mortimer during a hit led by Vulcan, ordered by Pluto and Augustus (count mentioned, minus Paulie) (undone via Quicksave's Power)	undone
<14> people	Eva Fabre	Incinerated by a burning woman during the 2003 Burning Woman incident, caused by Eva Fabre's Elixir Experiments	
<17> other Meta-Gang members	Vulcan | Pluto | Augustus	Shot by Augusti henchmen during a hit led by Vulcan, ordered by Pluto and Augustus (50 mentioned in total, minus attributed to specific characters) (undone via Quicksave's Power)	undone
<18> Meta-Gang members	Fortuna Veran | Vulcan | Pluto | Augustus	Shot in the head by Fortuna Veran during a hit led by Vulcan, ordered by Pluto and Augustus (count mentioned) (undone via Quicksave's Power)	undone
<19+> other Suitestown residents	Jean-Stéphanie	Murdered and devoured by the clowns, or took their own lives while trapped within Monaco by Jean-Stéphanie (other half of fifty mentioned, minus named characters) (undone via Quicksave's Power)	undone
<1> Augusti Genome	Bloodstream	Bisected with a blood axe by Bloodstream	
<1> Augusti henchman	Adam Fontaine	Shot by Meta-Gang members, led by Adam Fontaine (undone via Quicksave's Power)	undone
<1> Dynamis drone	Wardrobe	Smashed to paste by Wardrobe (undone via Quicksave's Power)	undone
<1> E.T.	Ryan Romano | Black Ultimate One	Devoured by Black Flux after being punched by Ryan Romano, Black Flux provided to Ryan by the Black Ultimate One	
<1> Experimental mix of a Persian cat and a velociraptor	Alain Tyrano	Created by Alain Tyrano, did not survive the experiment	
<1> Grandpa		Shanked in an alley by a druggie	
<1> Mechron's biomechanical dragon	Black Ultimate One | Mechron	Annihilated at the atomic level by the Black Ultimate One through the portal to the Black World accidentally opened by Mechron	
<1> Mechron's telekinetic Genome	Darkling | Ryan Romano	Swallowed by Darkling on orders from Ryan Romano (undone via Quicksave's Power)	undone
<1> Serbian war criminal	Eva Fabre	Shot by a man made of bolts and wires, caused by Eva Fabre's Elixir Experiments	
<1> Spanish guy	Ghoul | Adam Fontaine	Presumably murdered by Ghoul on orders from Adam Fontaine (undone via Quicksave's Power)	undone
<1> Spanish guy	Ghoul | Adam Fontaine	Skewered with icicles by Ghoul on orders from Adam Fontaine (undone via Quicksave's Power)	undone
<1> Spanish guy's date	Ghoul | Adam Fontaine	Presumably murdered by Ghoul on orders from Adam Fontaine (undone via Quicksave's Power)	undone
<1> Spanish guy's date	Ghoul | Adam Fontaine	Skewered with icicles by Ghoul on orders from Adam Fontaine (undone via Quicksave's Power)	undone
<1> Swiss informer	Eva Fabre	Shot on orders from Eva Fabre	
<1> Vulcan's ferret		Ran over by a car	
<1> alien	Eva Fabre	Bled out after being wounded by alien robots and kicked in its wound by Eva Fabre	
<1> biomechanical database	Alphonse Manada	Vaporized with a sustained ray of focused nuclear energy by Alphonse Manada (undone via Quicksave's Power)	undone
<1> bronze clown	Simon	Blasted with a shotgun by Simon (undone via Quicksave's Power)	undone
