character	killed by	death	type
<1> Drum 'n' Stinger	Wicked Twisters (W1D1)	Erased by the Wicked Twisters	
<1> Emo Puffer	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Go-Go Beringei	Wicked Twisters (W1D1)	Erased by the Wicked Twisters	
<1> Houseleon	Wicked Twisters (W2D1)	Erased by the Wicked Twisters	
<1> Mammoth R&B	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Phasaurus Rex	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Phoenix Cantus	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Pig Bolero	Wicked Twisters (AD)	Erased by the Wicked Twisters	
<1> Pig Bolero	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Pig Bolero	Wicked Twisters (W2D1)	Erased by the Wicked Twisters	
<1> Pig Bolero	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Bolero	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Bolero	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Bolero	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Pig Carol	Wicked Twisters (W1D1)	Erased by the Wicked Twisters	
<1> Pig Carol	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Pig Carol	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Cha-cha	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Pig Cha-cha	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Cha-cha	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Cha-cha	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Cha-cha	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Pig Cha-cha	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Pig Jive	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Jive	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Mambo	Wicked Twisters (AD)	Erased by the Wicked Twisters	
<1> Pig Mambo	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Pig Mambo	Wicked Twisters (W2D1)	Erased by the Wicked Twisters	
<1> Pig Mambo	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Mambo	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Mambo	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Mambo	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Pig Mazurka	Wicked Twisters (AD)	Erased by the Wicked Twisters	
<1> Pig Samba	Wicked Twisters (W1D1)	Erased by the Wicked Twisters	
<1> Pig Samba	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Pig Samba	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Pig Samba	Wicked Twisters (W2D1)	Erased by the Wicked Twisters	
<1> Pig Samba	Wicked Twisters (W2D1)	Erased by the Wicked Twisters	
<1> Pig Samba	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Samba	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (AD)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W1D4)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W2D1)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Pig Waltz	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Plague Batrakos	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Plague Nemopilema	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<1> Plague Pachy	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<1> Plague Stinger	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<2> Pig Carol	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<2> Pig Carol	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<2> Pig Cha Cha	Wicked Twisters (W2D3)	Erased by the Wicked Twisters	
<2> Pig Cha-cha	Wicked Twisters (AD)	Erased by the Wicked Twisters	
<2> Pig Cha-cha	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<2> Pig Cha-cha	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<2> Pig Jive	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<2> Pig Jive	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<2> Pig Jive	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<2> Pig Jive	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<2> Pig Samba	Wicked Twisters (W1D1)	Erased by the Wicked Twisters	
<3> Pig Carol	Wicked Twisters (W2D7)	Erased by the Wicked Twisters	
<3> Pig Carol	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
<3> Pig Jive	Wicked Twisters (AD)	Erased by the Wicked Twisters	
<6> Pig Carol	Wicked Twisters (AD)	Erased by the Wicked Twisters	
Ayano Kamachi		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Ayano Kamachi	Wicked Twisters (W2D7) | Shiba Miyakaze | Ayano Kamachi	Erased after willingly absorbing Shiba Miyakaze's Plague Noise and being fatally wounded by the Wicked Twisters	
Beat	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone via Rindo Kanade's Replay)	revived
Fret	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone via Rindo Kanade's Replay)	revived
Fuya Kawahara	Shiba Miyakaze	Erased by Shiba Miyakaze	
Hishima Sakazuki		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Hishima Sakazuki	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone via Rindo Kanade's Replay)	revived
Kaichi Susuki		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Kaichi Susuki	Wicked Twisters (W3D5)	Erased by the Wicked Twisters	
Kaie Ono		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Kanon Tachibana	Shiba Miyakaze	Erased by one of Shiba Miyakaze's Plague Noise	
Katsuhiko Tanimaru	Shiba Miyakaze	Erased alongside his team leader by Shiba Miyakaze	
Kohei Toyohashi	Shiba Miyakaze	Erased alongside his team leader by Shiba Miyakaze	
Maito Minami	Shiba Miyakaze	Erased alongside his team leader by Shiba Miyakaze's Plague Noise	
Motoi Anazawa	Shiba Miyakaze	Erased by Shiba Miyakaze	
Nagi Usui	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone via Rindo Kanade's Replay)	revived
Neku Sakuraba	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone via Rindo Kanade's Replay)	revived
Riko Sekinohara	Shiba Miyakaze | Tanzo Kubo | Hazuki Mikagi	Erased during Shinjuku's Inversion caused by Shiba Miyakaze, via manipulation by Tanzo Kubo, on orders from Hazuki Mikagi	
Shiba Miyakaze		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Shiba Miyakaze	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone via Rindo Kanade's Replay)	revived
Shoka Sakurane		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Shoka Sakurane	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone again via Rindo Kanade's Replay)	revived
Shoka Sakurane	Tanzo Kubo	Erased by the Soul Pulvis created by Tanzo Kubo (undone via Rindo Kanade's Replay)	revived
Sumio Tanaka	Shiba Miyakaze	Erased alongside his team leader by Shiba Miyakaze	
Tanzo Kubo	Hazuki Mikagi	Exorcised by Hazuki Mikagi	
Tsugumi Matsunae		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Tsugumi Matsunae's brother		Died from unknown causes (joined the Reaper's Game, later resurrected as a Reaper)	revived
Tsugumi Matsunae's brother	Shiba Miyakaze | Tanzo Kubo | Hazuki Mikagi	Erased during Shinjuku's Inversion caused by Shiba Miyakaze, via manipulation by Tanzo Kubo, on orders from Hazuki Mikagi	
