character	killed by	death	type
<1,960+> Aogiri Tree ghouls	Yoshitoki Washuu | Itsuki Marude | Matsuri Washuu	Slain by ghoul investigators during the Rushima Landing Operation led by Yoshitoki Washuu, Itsuki Marude and Matsuri Washuu (98% of thousands mentioned)	
<100+> ghoul investigators	Yan	Murdered by Yan	
<1> Ihei Squad Member	Nimura Furuta	Murdered by Nimura Furuta during the Tsukiyama Family Extermination Operation	
<1> unnamed member of Atou Squad	Eto Yoshimura | Ayato Kirishima | Hinami Fueguchi | Uta | Big Madam	Slain by ghouls during the Auction Mopping-up Operation, ghouls led by Eto Yoshimura, Ayato Kirishima, Hinami Fueguchi, Uta and Big Madam	
<1> unnamed member of Ooshiba Squad	Eto Yoshimura | Ayato Kirishima | Hinami Fueguchi | Uta | Big Madam	Slain by ghouls during the Auction Mopping-up Operation, ghouls led by Eto Yoshimura, Ayato Kirishima, Hinami Fueguchi, Uta and Big Madam	
<2+> Asada Company Helicopter Crew	Koori Ui | Matsuri Washuu	Shot down by ghoul investigators during the Tsukiyama Family Extermination Operation led by Koori Ui and Matsuri Washuu (plural)	
<2+> S2 Helicopter Crew	Eto Yoshimura	Murdered by Eto Yoshimura during the Tsukiyama Family Extermination Operation (plural)	
<2+> gang members	Lantern	Murdered by Lantern during the Lantern Investigation (plural)	
<2+> ghoul investigators	Eto Yoshimura	Slain by ghouls during the Rampage of the One-Eyed Owl led by Eto Yoshimura (plural)	
<2+> ghoul investigators	Uta	Slain by ghouls during the 4th Ward Clown Investigation, ghouls led by Uta (plural)	
<2+> ghouls	Kishou Arima	Slain by ghoul investigators during the 4th Ward Clown Investigation led by Kishou Arima (plural)	
<2+> ghouls	Mikito Urie | Fujishige Iba	Slain by ghoul investigators during the Rampage of the One-Eyed Owl, investigators led by Mikito Urie and Fujishige Iba (plural)	
<200+> Aogiri Tree ghouls	Itsuki Marude | Iwao Kuroiwa	Slain by ghoul investigators during the 11th Ward Battle led by Itsuki Marude and Iwao Kuroiwa	
<3+> Aogiri members	Matsuri Washuu	Slain by ghoul investigators during the Auction Mopping-up Operation, led by Matsuri Washuu (several mentioned)	
<3+> Auction guests	Matsuri Washuu	Slain by ghoul investigators during the Auction Mopping-up Operation, led by Matsuri Washuu (several mentioned)	
<3+> CCG members	Ken Kaneki | Rize Kamishiro	Slain by the Dragon during the Defense of Tokyo (several mentioned)	
<3+> Clowns members	Souta Washuu-Furuta	Slain by ghoul investigators during the Clown Siege led by Souta Washuu-Furuta (several mentioned)	
<3+> Cochlea staff	Tatara	Slain by ghouls during the Second Cochlea Raid led by Tatara (several mentioned)	
<3+> Goat members	Souta Washuu-Furuta	Slain by ghoul investigators during the Clown Siege led by Souta Washuu-Furuta (several mentioned)	
<3+> JSDF members	Ken Kaneki | Rize Kamishiro	Slain by the Dragon during the Defense of Tokyo (several mentioned)	
<3+> Oggai	Ken Kaneki	Slain by Goat members during the Goat Wipeout Operation, ghouls led by Ken Kaneki (several mentioned)	
