character	killed by	death	type

<1> Courtesan Bear	Emilia	Head speared through with an icicle by Emilia (undone via Return by Death)	undone
<3+> Courtesan Bears	Emilia	Skewered with icicles by Emilia (several mentioned) (undone via Return by Death)	undone
<4+> Courtesan Bears	Emilia	Skewered with icicles by Emilia (minimum counted) (undone via Return by Death)	undone
<3+> Courtesan Bears	Julius Juukulius	Stabbed in the brain by Julius Juukulius (several mentioned) (undone via Return by Death)	undone
<3+> Courtesan Bears	Beatrice | Natsuki Subaru	Struck with crystals by Beatrice on orders from Natsuki Subaru (several mentioned) (undone via Return by Death)	undone
<10+> Courtesan Bears	Meili Portroute	Devoured and/or crushed by Sand Earthworms on orders from Meili Portroute (minimum counted) (undone via Return by Death)	undone
<1> Sand Earthworm		Mauled by Courtesan Bears (undone via Return by Death)	undone

Natsuki Subaru	Shaula | Flugel	Head blown off by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Patrasche	Shaula | Flugel	Head blown off by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Beatrice	Shaula | Flugel	Head blown off by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Emilia	Shaula | Flugel	Head blown off or crushed by a carriage by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Rem	Shaula | Flugel	Head blown off or crushed by a carriage by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Ram	Shaula | Flugel	Head blown off or crushed by a carriage by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Meili Portroute	Shaula | Flugel	Head blown off or crushed by a carriage by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Julius Juukulius	Shaula | Flugel	Head blown off or crushed by a carriage by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Joseph	Shaula | Flugel	Head blown off by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Anastasia Hoshin	Shaula | Flugel	Head blown off or crushed by a carriage by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Eridna	Shaula | Flugel	Head blown off or crushed by a carriage by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone

<3+> Courtesan Bears	Emilia	Sliced with ice blades by Emilia (several mentioned) (undone via Return by Death)	undone
<3+> Courtesan Bears	Beatrice | Natsuki Subaru	Struck with crystals by Beatrice on orders from Natsuki Subaru (several mentioned) (undone via Return by Death)	undone
<1> Courtesan Bear	Patrasche	Impaled by Patrasche with her head (undone via Return by Death)	undone
<3+> Courtesan Bears	Emilia	Impaled with icicles by Emilia (several mentioned) (undone via Return by Death)	undone
<1> Courtesan Bear	Patrasche	Abdomen cut through by Patrasche with her tail (undone via Return by Death)	undone
<1> Sand Earthworm	Shaula | Flugel	Blown into pieces by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
<2+> Courtesan Bears	Shaula | Flugel	Blown into pieces by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (plural) (undone via Return by Death)	undone

Patrasche	Shaula | Flugel	Blasted through the side by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Beatrice	Shaula | Flugel	Blasted through the back by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Natsuki Subaru	Shaula | Flugel	Blasted through the head and the chest by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone

Natsuki Subaru		Incinerated by a Hungry Horse King (undone via Return by Death) (Web Novel only)	undone | non-canon

Ram	Patrasche | Eridna | Anastasia Hoshin | Flugel	Head devoured by Patrasche after being stabbed in the stomach by Eridna while possessing Anastasia Hoshin, all under influence of the miasma setup by Flugel (undone via Return by Death)	undone
Eridna	Ram | Flugel	Bisected at the waist by Ram, who was under the influence of the miasma setup by Flugel (undone via Return by Death)	undone
Anastasia Hoshin	Ram | Flugel	Bisected at the waist by Ram, who was under the influence of the miasma setup by Flugel (undone via Return by Death)	undone
Natsuki Subaru	Patrasche | Eridna | Anastasia Hoshin | Flugel	Head devoured by Patrasche after being stabbed in the shoulder by Eridna while possessing Anastasia Hoshin, all under influence of the miasma setup by Flugel (undone via Return by Death)	undone

<1> Courtesan Bear		Speared and incinerated by a Hungry Horse King	
<1> Hungry Horse King	Shaula | Flugel	Obliterated and torn to shreds by Shaula, while guarding the Pleiades Watchtower on orders from Flugel	

Palma Eule		Died from unknown causes, corresponding Book of the Dead mentioned	
Coyote		Died from unknown causes, corresponding Book of the Dead mentioned	
Noah Libertas		Died from unknown causes, corresponding Book of the Dead mentioned	
Aegon Voller		Died from unknown causes, corresponding Book of the Dead mentioned	
<3+> people	Typhon's Father	Executed by Typhon's Father (several mentioned)	
Typhon's Father	Typhon	Shattered into pieces via Typhon's Authority	
<1> criminal	Typhon	Shattered into pieces via Typhon's Authority	
<20+> people	Typhon	Shattered into pieces via Typhon's Authority (minimum counted)	
<3+> beasts	Sekhmet	Slaughtered by Sekhmet (several mentioned)	
<3+> men	Sekhmet	Necks snapped by Sekhmet (several mentioned)	
<3+> Giants	Sekhmet	Slaughtered by Sekhmet (several mentioned)	
<3+> witchbeasts	Daphne	Birthed and then devoured by Daphne (several mentioned)	

Natsuki Subaru	Meili Portroute	Pushed off a staircase by Meili Portroute (undone via Return by Death)	undone
Rui Arneb	Meili Portroute	Perished alongside Natsuki Subaru when he was pushed off a staircase by Meili Portroute (undone via Return by Death)	undone

Natsuki Subaru	Meili Portroute	Pushed off and crashed against a staircase by Meili Portroute (undone via Return by Death)	undone
Rui Arneb	Meili Portroute	Perished alongside Natsuki Subaru when he was pushed off and crashed against a staircase by Meili Portroute (undone via Return by Death)	undone

<1> Sand Earthworm	Shaula | Flugel	Blown into pieces by Shaula, while guarding the Pleiades Watchtower on orders from Flugel (undone via Return by Death)	undone
Shaula		Head smashed and arms sliced off by 
Eridna		Slashed across diagonally from shoulder to side by 
Anastasia Hoshin
Ram		Blasted through the back by 
Julius Juukulius		Bled out after being slashed and having his left arm blown off by 
Meili Portroute		Bled out after being stabbed in the stomach by 
Patrasche		Swallowed by Satella's shadows
Natsuki Subaru	Lye Batenkaitos	Decapitated by Lye Batenkaitos (undone via Return by Death)	undone
Beatrice
Rem




