character	killed by	death	type	run

characters with aliases / titles :

Gregor Corwin II / Baron Corwin
Gregor Corwin III
King Wilden Brin I / King Brin
Duke Brin / King Brin's Brother
King Wilden Brin II / King Brin's Son / Prince Brin
Anias / Red Knight
Freya / Frey / Red Widow
Simon / Simon Jackoby / Ennis
Simon's doppelgänger


before the Pit / lore:

{100+} Simon		Lived more than a hundred different lives as an animal or a human (each time reincarnated by Helades)	reincarnated	
Simon	Simon	 Stepped into traffic in order to commit suicide, crushed by an eighteen-wheeler (brought to Helades for reincarnation and eventually sent to the Pit)	revived	
<4,683,945> other souls		Died from unknown causes (count mentioned, minus Simon) (brought to Helades for reincarnation and eventually sent to the Pit)	revived	
Festauvian	Andronican	Murdered by Andronican		
<24+> men	Andronican	Murdered by Andronican using his golem (two dozens mentioned)		
<3+> children	Andronican	Sacrificed by Andronican using his golem (several mentioned)		
Andus the Undefeatable		Died from natural causes		
<2+> animals	Bahgmorrda	Used as blood sacrifices by Bahgmorrda (plural)		
<2+> strangers	Bahgmorrda	Used as blood sacrifices by Bahgmorrda (plural)		
<2+> Bahgmorrda's family members	Bahgmorrda	Thrown into hell by Bahgmorrda (plural)		
<1> woman-shaped abomination	Bahgmorrda	Created and put out of its misery by Bahgmorrda		

within the Pit / story:

Simon	Helades	Fell to his death after tumbling down stairs, sent in the Pit by Helades (reset by the Pit)	undone	1

<1> rat	Simon	Impaled with a sword by Simon (reset by the Pit)	undone	2
Simon	Helades	Devoured alive by a swarm of rats, sent in the Pit by Helades (reset by the Pit)	undone	2

<6+> rats	Simon	Stomped with leather boots by Simon (half dozen mentioned) (reset by the Pit)	undone	3
<3+> bats	Simon	Slashed with a sword by Simon (several mentioned) (reset by the Pit)	undone	3
<2+> bats	Simon	Slashed with a sword by Simon (couple mentioned) (reset by the Pit)	undone	3
Simon	Helades	Impaled on several three-foot spikes after falling in a trap, sent in the Pit by Helades (reset by the Pit)	undone	3

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	4
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	4
Simon	Helades	Drowned after falling into an underground river, sent in the Pit by Helades (reset by the Pit)	undone	4

<6+> rats	Simon	Stomped with leather boots by Simon (previously known count) (reset by the Pit)	undone	5
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	5
<1> goblin	Simon	Impaled on a spear by Simon (reset by the Pit)	undone	5
<1> goblin	Simon	Head cleaved in half with a sword by Simon (reset by the Pit)	undone	5
<1> goblin	Simon	Kicked in the head and sent careening by Simon (reset by the Pit)	undone	5
Simon	Helades	Stabbed in the gut, throat ripped out and devoured alive by goblins, sent in the Pit by Helades (reset by the Pit)	undone	5

<1> rat	Simon	Skewered on a spear by Simon (reset by the Pit)	undone	6
<5+> rats	Simon	Stomped with leather boots by Simon (previously known count, minus 1 skewered) (reset by the Pit)	undone	6
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	6
<1> goblin	Simon	Shot in the skull with a crossbow by Simon (reset by the Pit)	undone	6
<1> goblin	Simon	Cleaved in half with a sword by Simon (reset by the Pit)	undone	6
<1> goblin	Simon	Skull cleaved with a sword by Simon (reset by the Pit)	undone	6
<3> skeletons	Simon	Beheaded by Simon (reset by the Pit)	undone	6
<9> skeletons	Simon	Slain by Simon (12 mentioned, minus previous 3) (reset by the Pit)	undone	6
Simon	Helades	Impaled through the liver, stomach and the lungs by skeletons, sent in the Pit by Helades (reset by the Pit)	undone	6

<1> goblin	Simon	Shot with a crossbow by Simon (reset by the Pit)	undone	7
<1> goblin	Simon	Beheaded with a sword by Simon (reset by the Pit)	undone	7
<6+> rats	Simon	Stomped with leather boots by Simon (previously known count) (reset by the Pit)	undone	7
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	7
<2> goblins	Simon	Slain by Simon (reset by the Pit)	undone	7
<1> goblin	Simon	Head crushed against a wall by Simon (reset by the Pit)	undone	7
<3> goblins	Simon	Slain by Simon (6 mentioned, minus previous 3) (reset by the Pit)	undone	7
Simon	Simon | Helades	Slit his own throat with a sword while impaled in the gut and frozen by a skeleton knight, sent in the Pit by Helades (reset by the Pit)	undone	7

Simon	Helades	Died of thirst or starvation, sent in the Pit by Helades (reset by the Pit)	undone	8

Simon	Helades	Died of thirst or starvation, sent in the Pit by Helades (reset by the Pit)	undone	9

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	10
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	10
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	10
<1> rabbit	Simon	Shot with a crossbow by Simon (reset by the Pit)	undone	10
Simon	Helades	Froze to death while sleeping in the mountains, sent in the Pit by Helades (reset by the Pit)	undone	10

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	11
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	11
<1> goblin	Simon	Slain in an ambush by Simon (reset by the Pit)	undone	11
<15+> skeletons	Simon	Skulls crushed with a mace by Simon (half of previously known count) (reset by the Pit)	undone	11
<15+> skeletons	Simon	Skulls crushed with a mace by Simon (rest of previously known count) (reset by the Pit)	undone	11
Simon	Helades	Run through with a sword by a skeleton knight, sent in the Pit by Helades (reset by the Pit)	undone	11

<72+> rats	Simon	Slain by Simon (previously known count * 12) (reset by the Pit)	undone	12 to 23
<60+> bats	Simon	Slain by Simon (previously known count * 12) (reset by the Pit)	undone	12 to 23
<72> goblins	Simon	Slain by Simon (previously known count * 12) (reset by the Pit)	undone	12 to 23
<360+> skeletons	Simon	Slain by Simon (previously known count * 12) (reset by the Pit)	undone	12 to 23
{12} Simon	Helades	Killed several times in a duel against a skeleton knight, sent in the Pit by Helades (reset by the Pit)	undone	12 to 23

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	24
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	24
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	24
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	24
<1> skeleton knight	Simon	Beheaded with a sword by Simon (reset by the Pit)	undone	24
Simon	Helades	Suffocated while being devoured alive by a slime, sent in the Pit by Helades (reset by the Pit)	undone	24

<1> goblin	Simon	Shot in the head with a crossbow by Simon (reset by the Pit)	undone	25
<1> goblin	Simon	Cleaved in half with a sword by Simon (reset by the Pit)	undone	25
<1> goblin	Simon	Shot in the belly with a crossbow by Simon (reset by the Pit)	undone	25
<5+> goblins	Simon	Slain by Simon (minimum counted) (reset by the Pit)	undone	25
<1> goblin	Simon	Shot with a crossbow by Simon (reset by the Pit)	undone	25
<1> goblin	Simon	Shot with a crossbow by Simon (reset by the Pit)	undone	25
<1> goblin shaman	Simon	Shot in the chest with a crossbow by Simon (reset by the Pit)	undone	25
<4+> goblins	Simon	Incinerated with a word of power by Simon (half of 7 mentioned) (reset by the Pit)	undone	25
Simon	Helades	Bled out after being stabbed by a goblin, sent in the Pit by Helades (reset by the Pit)	undone	25

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	26
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	26
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	26
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	26
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	26
<1> slime	Simon	Incinerated with a word of power by Simon (reset by the Pit)	undone	26
<7,128+> Schwartzenbruck inhabitants		Murdered and/or bitten by zombies (count taken from run 34) (reset by the Pit)	undone	26
<1> zombie	Simon	Skull cracked with a mace by Simon (reset by the Pit)	undone	26
Simon	Brenna | Helades	Bled out after being impaled on a pitchfork by Brenna, sent in the Pit by Helades (reset by the Pit)	undone	26

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	27
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	27
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	27
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	27
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	27
<1> slime	Simon	Incinerated with a word of power by Simon (reset by the Pit)	undone	27
<7,128+> Schwartzenbruck inhabitants		Murdered and/or bitten by zombies (count taken from run 34) (reset by the Pit)	undone	27
<9> people		Murdered by zombies (count of bodies) (reset by the Pit)	undone	27
Olggen		Turned into a zombie (reset by the Pit)	undead | undone	27
Olggen	Freya	Turned into a zombie and put down by Freya (reset by the Pit)	undone	27
Brenna	Freya	Stabbed in the neck in self-defense by Freya (reset by the Pit)	undone	27
<1> zombie	Simon	Face caved in by Simon (reset by the Pit)	undone	27
<2> zombies	Simon	Slain by Simon (reset by the Pit)	undone	27
<1> zombie	Simon	Crushed with a mace by Simon (reset by the Pit)	undone	27
<2+> zombies	Simon | Freya	Crushed against a wall by a table shoved by Simon and Freya (plural) (reset by the Pit)	undone	27
Freya		Trapped in a basement by zombies and died of carbon monoxide poisoning (reset by the Pit)	undone	27
Simon	Helades	Trapped in a basement by zombies and died of carbon monoxide poisoning, sent in the Pit by Helades (reset by the Pit)	undone	27

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	28
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	28
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	28
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	28
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	28
<1> slime	Simon	Incinerated with a word of power by Simon (reset by the Pit)	undone	28
<7,128+> Schwartzenbruck inhabitants		Murdered and/or bitten by zombies (count taken from run 34) (reset by the Pit)	undone	28
<1> zombie	Simon	Head crushed with a mace by Simon (reset by the Pit)	undone	28
<4> zombies	Simon	Slain by Simon (reset by the Pit)	undone	28
Olggen		Bitten and turned into a zombie (reset by the Pit)	undead | undone	28
Olggen	Brenna	Put down by Brenna after turning into a zombie (reset by the Pit)	undone	28
Freya	Olggen | Brenna	Bitten by Olggen while used as a human shield by Brenna and turned into a zombie (reset by the Pit)	undead | undone	28
Freya	Brenna	Put down by Brenna after turning into a zombie (reset by the Pit)	undone	28
Brenna	Olggen	Bitten by Olggen and turned into a zombie (reset by the Pit)	undead | undone	28
Brenna	Simon	Turned into a zombie and head smashed into a counter by Simon (reset by the Pit)	undone	28
Simon	Brenna | Helades	Turned into a zombie after being bitten on the neck by Brenna, sent in the Pit by Helades (reset by the Pit)	undead | undone	28
Gotrick	Simon	Devoured by Simon as a zombie, then turned as well (reset by the Pit)	undead | undone	28
<400+> people		Bitten and turned into zombies (hundreds mentioned twice) (reset by the Pit)	undead | undone	28
<200+> zombies		Slain by a band of adventurers (hundreds mentioned) (reset by the Pit)	undone	28
<4> adventurers		Devoured by zombies (count taken from run 34, minus Kel) (reset by the Pit)	undone	28
Kel		Devoured by zombies (reset by the Pit)	undone	28
<200+> zombies		Eventually whittled down by farmers and villagers (hundreds mentioned) (reset by the Pit)	undone	28
<3+> people	Simon	Devoured by Simon as a zombie (several mentioned) (reset by the Pit)	undone	28
Simon	Helades	Put down with a fire spell by a mage, sent in the Pit by Helades (reset by the Pit)	undone	28

Simon	Helades	Impaled with multiple shards of a broken mirror by Helades (reset by the Pit)	undone	29
<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	29
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	29
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	29
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	29
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	29
<1> slime	Simon	Incinerated with a word of power by Simon (reset by the Pit)	undone	29
<7,128+> Schwartzenbruck inhabitants		Murdered and/or bitten by zombies (count taken from run 34) (reset by the Pit)	undone	29
<2> zombies	Simon	Head crushed with a mace by Simon (reset by the Pit)	undone	29
Olggen		Presumably bitten and turned into a zombie (reset by the Pit)	undead | undone	29
Olggen	Brenna | Freya	Presumably turned into a zombie and put down by either Brenna or Freya (reset by the Pit)	undone	29
Freya	Brenna	Presumably bitten and put down or bled out while fighting Brenna (reset by the Pit)	undone	29
Brenna	Freya	Presumably bitten and put down or bled out while fighting Freya (reset by the Pit)	undone	29
<10,000+> Ionar inhabitants	Simon's doppelgänger	Perished in a volcano eruption caused by Simon's doppelgänger (count taken from run 43) (reset by the Pit)	undone	29
<6+> people		Mauled by an owlbear (half a dozen mentioned) (reset by the Pit)	undone	29
<2> horses		Mauled by an owlbear (reset by the Pit)	undone	29
Simon	Helades	Impaled through the heart with a sword by a ghost, sent in the Pit by Helades (reset by the Pit)	undone	29

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	30
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	30
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	30
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	30
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	30
<1> slime	Simon	Incinerated with a word of power by Simon (reset by the Pit)	undone	30
<7,128+> Schwartzenbruck inhabitants		Murdered and/or bitten by zombies (count taken from run 34) (reset by the Pit)	undone	30
<1> zombie	Simon	Head crushed with a mace by Simon (reset by the Pit)	undone	30
Brenna	Olggen	Bitten by Olggen and turned into a zombie (reset by the Pit)	undead | undone	30
Brenna	Simon	Turned into a zombie and face crushed with a mace by Simon (reset by the Pit)	undone	30
Olggen		Bitten and turned into a zombie (reset by the Pit)	undead | undone	30
Olggen	Brenna	Put down by Brenna after turning into a zombie (reset by the Pit)	undone	30
Freya	Olggen | Brenna	Bitten by Olggen while used as a human shield by Brenna and turned into a zombie (reset by the Pit)	undead | undone	30
Freya	Brenna	Put down by Brenna after turning into a zombie (reset by the Pit)	undone	30
<8> zombies	Simon	Slain by Simon (reset by the Pit)	undone	30
<10,000+> Ionar inhabitants	Simon's doppelgänger	Perished in a volcano eruption caused by Simon's doppelgänger (count taken from run 43) (reset by the Pit)	undone	30
<6+> people		Mauled by an owlbear (previously known count) (reset by the Pit)	undone	30
<2> horses		Mauled by an owlbear (previously known count) (reset by the Pit)	undone	30
<1> owlbear	Simon	Impaled on a pike and then spinal cord severed with a sword by Simon (reset by the Pit)	undone	30
Andronican	Simon	Shot in the left lung with a crossbow by Simon (reset by the Pit)	undone	30
<3+> people		Frozen to death by the mage's blue orb (several mentioned) (reset by the Pit)	undone	30
<3> family members		Died from the Black Plague (reset by the Pit)	undone	30
