character	killed by	death	type

<13> Shadow	Player	Slain by Player (Quest 1)	
<1> Mega-Shadow	Player	Slain by Player (Quest 1)	
<22> Shadow	Player	Slain by Player (Quest 2)	
<1> Mega-Shadow	Player	Slain by Player (Quest 2)	
<8> Shadow	Player	Slain by Player (Quest 3)	
<5> Soldier	Player	Slain by Player (Quest 3)	
<1> Darkside	Player	Slain by Player (Quest 3)	
<2> Nosy Mole	Player	Slain by Player (Quest 4)	
<9> Shadow	Player	Slain by Player (Quest 4)	
<2> Dire Plant	Player	Slain by Player (Quest 5)	
<3> Soldier	Player	Slain by Player (Quest 5)	
<3> Nosy Mole	Player	Slain by Player (Quest 5)	
<8> Shadow	Player	Slain by Player (Quest 6)	
<6> Soldier	Player	Slain by Player (Quest 6)	
<1> Armored Knight	Player	Slain by Player (Quest 6)	
<4> Mega-Shadow	Player	Slain by Player (Quest 6)	
<4> Shadow	Player	Slain by Player (Quest 7)	
<1> Yellow Opera	Player	Slain by Player (Quest 7)	
<2> Nosy Mole	Player	Slain by Player (Quest 7)	
<1> Large Body	Player	Slain by Player (Quest 8)	
<1> Soldier	Player	Slain by Player (Quest 9)	
<4> Shadow	Player	Slain by Player (Quest 9)	
<2> Yellow Opera	Player	Slain by Player (Quest 9)	
<2> Nosy Mole	Player	Slain by Player (Quest 9)	
<1> Tornado Step	Player	Slain by Player (Quest 10)	
<9> Shadow	Player	Slain by Player (Quest 10)	
<3> Nosy Mole	Player	Slain by Player (Quest 10)	
<1> Yellow Opera	Player	Slain by Player (Quest 10)	
<5> Shadow	Player	Slain by Player (Quest 11)	
<4> Nosy Mole	Player	Slain by Player (Quest 11)	
<1> Yellow Opera	Player	Slain by Player (Quest 11)	
<6> Shadow	Player	Slain by Player (Quest 12)	
<1> Nosy Mole	Player	Slain by Player (Quest 12)	
<1> Yellow Opera	Player	Slain by Player (Quest 12)	
<1> Large Body	Player	Slain by Player (Quest 12)	
<6> Shadow	Player	Slain by Player (Quest 13)	
<3> Nosy Mole	Player	Slain by Player (Quest 13)	
<1> Yellow Opera	Player	Slain by Player (Quest 13)	
<1> Soldier	Player	Slain by Player (Quest 13)	
<1> Large Armor	Player	Slain by Player (Quest 14)	
<5> Soldier	Player	Slain by Player (Quest 15)	
<1> Shadow	Player	Slain by Player (Quest 15)	


