character	killed by	death	type	loop


<3+> war trolls	Zach Noveda	Slain by Zach Noveda (several mentioned)	clone | non-canon	The Fourth Looper - 1
<3+> winter wolves	Zach Noveda	Slain by Zach Noveda (several mentioned)	clone | non-canon	The Fourth Looper - 1
<3+> iron beaks	Zach Noveda	Slain by Zach Noveda (several mentioned)	clone | non-canon	The Fourth Looper - 1
<1> winter wolf	Zach Noveda	Bones and internal organs crushed when slammed against a wall by Zach Noveda	clone | non-canon	The Fourth Looper - 1
<3+> creatures	Zach Noveda	Slain by Zach Noveda (several mentioned)	clone | non-canon	The Fourth Looper - 1
<3+> skeletons	Zach Noveda	Swallowed by the earth beneath their feet via a spell cast by Zach Noveda (several mentioned)	clone | non-canon	The Fourth Looper - 1
<1> enemy mage	Zach Noveda	Swallowed by the earth beneath their feet via a spell cast by Zach Noveda	clone | non-canon	The Fourth Looper - 1
Zach Noveda	Quatach-Ichl	Fatally wounded and soul mutilated with Soul Meld by Quatach-Ichl	clone | non-canon	The Fourth Looper - 1
Zorian Kazinski	Quatach-Ichl	Fatally wounded and soul mutilated with Soul Meld by Quatach-Ichl	clone | non-canon	The Fourth Looper - 1
Akoja Stroze	Quatach-Ichl	Fatally wounded and soul mutilated with Soul Meld by Quatach-Ichl	clone | non-canon	The Fourth Looper - 1
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone | non-canon	The Fourth Looper - 1
<50,000,000+> Altazia inhabitants	Panaxeth	Erased alongside the copied world by Panaxeth (population of at least 50 millions stated by author)	clone | non-canon	The Fourth Looper - 1

Alachi Gotrum	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Alanic Zosk	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Andir Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Andoril Boranova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Aneka Ashirai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Anixa Pravoski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Aread	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Armie Ashirai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Azlyn Marivoski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Batak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Benisek	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Briam	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Bridge of Moonlight Connecting Ten Thousand Shores	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
