character	killed by	death	type	achievement


Payday Gang	Dallas | Hoxton | Wolf | Chains
Payday Gang (Payday 2)	Dallas | Hoxton | Wolf | Chains | Houston | John Wick | Clover | Dragan | Jacket | Bonnie | Sokol | Jiro | Bodhi | Jimmy | Sydney | Rust | Scarface | Sangres | Duke | Joy | Ethan | Hila

Nathan Steele / Dallas
James Hoxworth / Hoxton
Nicolas / Chains
Franklin Steele / Houston
Jonathan Wick / John Wick
Rochelle Maloney / Clover
Dragan Zubović / Dragan
Bonnie McGee / Bonnie
Sergei Kozak / Sokol
Kelli King / Sydney
Tom Bishop / Rust
Antonio Montana / Tony Montana / Scarface
Antonio Benítez Rodríguez / Machetazo / Sangres
August Lindenhurst / Duke


<666> enemies	Payday Gang (Payday 2)	Shot with shotguns by the Payday Gang		Pump-Action
<50> enemies	Payday Gang (Payday 2)	Murdered with melee weapons by the Payday Gang		No One Can Hear You Scream
<666> enemies	Payday Gang (Payday 2)	Shot with the Interceptor 45 pistol by the Payday Gang		The Pumpkin King Made Me Do It!
<378> enemies	Payday Gang (Payday 2)	Shot with the Gruber Kurz handgun by the Payday Gang		License to Kill
<69> snipers	Payday Gang (Payday 2)	Shot with the Commando 553 rifle by the Payday Gang		I'm Not a Crook!
<95> shields	Payday Gang (Payday 2)	Shot with the Swedish K submachine gun by the Payday Gang		Fool Me Once, Shame on -Shame on You. Fool Me - You Can't Get Fooled Again
<100> law enforcers	Payday Gang (Payday 2)	Shot with the AK5 rifle by the Payday Gang		Wanted
<100> law enforcers	Payday Gang (Payday 2)	Shot with the Kobus 90 submachine gun by the Payday Gang		3000 Miles to the Safe House
<100> law enforcers	Payday Gang (Payday 2)	Shot with the UAR rifle by the Payday Gang		Commando
<100> law enforcers	Payday Gang (Payday 2)	Shot with the Crosskill pistol by the Payday Gang		Public Enemies
<100> law enforcers	Payday Gang (Payday 2)	Shot with the Eagle Heavy rifle by the Payday Gang		Inception
<100> law enforcers	Payday Gang (Payday 2)	Shot with the SpecOps submachine gun by the Payday Gang		Hard Corps
<100> law enforcers	Payday Gang (Payday 2)	Shot with the Signature .40 pistol by the Payday Gang		Above the Law
<4> enemies	Payday Gang (Payday 2)	Murdered and bagged by the Payday Gang		Dead Presents
<220> enemies	Payday Gang (Payday 2)	Shot with any light machine gun by the Payday Gang		They Drew First Blood, Not Me
<10> enemies	Payday Gang (Payday 2)	Shot with any light machine gun by the Payday Gang		Killin's As Easy As Breathing
<1> cloaker	Payday Gang (Payday 2)	Stabbed with a knife by the Payday Gang		Cloak and Dagger
<15> FBI SWAT and FBI Heavy SWAT units	Payday Gang (Payday 2)	Stabbed with a knife by the Payday Gang		I Ain't Got Time to Bleed
<1> bulldozer	Payday Gang (Payday 2)	Stabbed with a knife by the Payday Gang		Are You Kidding Me?
<1> cloaker	Payday Gang (Payday 2)	Shot with a shotgun by the Payday Gang		In Town You're the Law, Out Here It's Me
<50> law enforcers	Payday Gang (Payday 2)	Punched with their fists by the Payday Gang		The Eighth and Final Rule
<1> cloaker	Payday Gang (Payday 2)	Shot with the Deagle pistol by the Payday Gang		Don't Push It
<25> enemies	Payday Gang (Payday 2)	Shot with the Thanatos .50 cal sniper rifle by the Payday Gang		Far, Far Away








