character	killed by	death	type

characters / aliases :

Grant Hyde / Grantyde of Maekyon / Prince Consort of the Black Pike / Subject B-32
Sykora / Princess of the Black Pike / Subject B-31 / Batty
Narika / Princess of the Glory Banner
Empress Zithra XIX


Grant Hyde's brother		Passed away from unknown causes	
Grant Hyde's father		Passed away from unknown causes	
Zithra I		Passed away from unknown causes	


Drake	Sykora	Throat ripped out with her teeth by Sykora	
<1> man	Sykora	Slaughtered by Sykora	
<6+> people in tactical black	Sykora	Slaughtered by Sykora (half a dozen mentioned)	
<1> poor shmuck	Sykora	Slaughtered by Sykora	




