character	killed by	death	type	loop


characters / aliases :

Kim Gong-Ja / Death King
Yoo Soo-Ha / Flame Emperor
Saintess Isabelle
Black Dragon Witch
Marcus Calenbury / Marcus Calenberry / Sword Saint
Bae Hu-Ryeong / Sword Emperor
Arthur Taylor / Vault Keeper
Countess / Count
Heresy Inquisitor / Heretic Questioner
Liao Fan / Viper / Venomous Snake
Babel's Linguist
Wide Area News / Kwangyeok Messenger
Paladin / Crusader
Master Alchemist / Lord of Alchemy Castle
Hellfire Maiden
Enju
Karia
Sorrt
Lapa Casabella
Cort
Rohan Pansaba
Sarbast Aegim
Jeshua Kamancha
Tomunde
Sane Carmen
Lefanta Aegim
Goddess of Protection
Demon King / Devil King of Fall Rain / Saintess of the Frontier
Ester / Estelle


deaths :

Bae Hu-Ryeong		Perished on the Tower's 100th Floor (remained as a ghost)	physical	
<2,000+> orphans	Kind Mister	Tortured and murdered or starved by the Kind Mister (thousands mentioned)		
<6+> orphans	Kind Mister	Incinerated during the Kind Mister's mansion fire (plural mentioned several times)		
Hellfire Maiden	Kind Mister	Incinerated during the Kind Mister's mansion fire (reincarnated as the Tower's 10th Floor Boss Monster)	reincarnated	
<20,000+> people	Demon King	Devoured by the Demon King (can only summon who she killed, tens of thousands of monsters mentioned)		
Emperor of the Aegim Empire	Emperor of the Aegim Empire | Demon King	Took his own life during the Demon King's attack		
Ester	Demon King	Devoured and replaced by the Demon King		
<1> newborn baby	Demon King	Devoured and resurrected by the Demon King	revived	


Marcus Calenbury's daughter		Murdered outside of the Tower by a serial killer		
Marcus Calenbury's son-in-law		Murdered outside of the Tower by a serial killer		
<2,000+> goblins		Slain by an unnamed hunter (thousands mentioned)		
<1> man	Marcus Calenbury	Beheaded by Marcus Calenbury after talking about his grandchildren		
Hellfire Maiden	Yoo Soo-Ha	Slain by Yoo Soo-Ha when he cleared the Tower's 10th Floor (undone via Returner's Clockwork Watch)	undone	


Yoo Soo-Ha	Saintess Isabelle | Black Dragon Witch	Poisoned with basilisk's stomach acid by Saintess Isabelle on orders from Black Dragon Witch (undone via Returner's Clockwork Watch)	undone	

Saintess Isabelle	Yoo Soo-Ha	Incinerated by Yoo Soo-Ha (undone via Returner's Clockwork Watch)	undone	1
<18> people	Yoo Soo-Ha	Beheaded and incinerated by Yoo Soo-Ha (undone via Returner's Clockwork Watch)	undone	1
Kim Gong-Ja	Yoo Soo-Ha	Head incinerated by Yoo Soo-Ha (undone via Returner's Clockwork Watch)	undone	1

Saintess Isabelle	Yoo Soo-Ha	Incinerated by Yoo Soo-Ha (undone via Returner's Clockwork Watch)	undone	2
Kim Gong-Ja	Kim Gong-Ja | Yoo Soo-Ha	Incinerated himself by running into the fire started by Yoo Soo-Ha (undone via Returner's Clockwork Watch)	undone	2

{4,090} Kim Gong-Ja	Kim Gong-Ja	Stabbed himself in the neck 4090 times in order to return 11 years back in time (undone via Returner's Clockwork Watch)	undone	3 to 4092

<10+> slimes	Yoo Soo-Ha	Slain by Yoo Soo-Ha (at least 1 per day, repeated 10 times) (undone via Returner's Clockwork Watch)	undone	4083 to 4092
