character	killed by	death	type

characters (unused or aliases):
Ryan Romano / Quicksave
Len Sabino / Underdiver
Jamie Cutter / Zanbato
Luigi / Crypto
Freddie Sabino / Bloodstream
Hyun Ki-jung / Chitter
Lanka / Sphere
Enrique Manada / Blackthorn
Felix Veran / Atom Cat
Francis Grey / Psyshock
Laura / Wyvern
Mathias Martel / Shroud
Bianca / Sarin
Helen / Acid Rain
Narcinia Veran / Giulia Costa / Ceres
Greta / Cancel
Adam Fontaine / Adam the Ogre
Nash / Sparrow
Livia Augusti / Minerva / Queen Crimson
Jasmine Sharif / Vulcan
Silvio Augusti / Neptune
Marco / Mercury
Luca / Mars
Father Torque / Bacchus
Janus Augusti / Augustus
François / Geist
Timmy / Panda
Yukiko / Wardrobe
Alphonse Manada / Fallout
Frank / Frank the Mad
Leonard Hargraves / Living Sun / Sunshine
Nora Moore / Architect
Cruella Augusti / Pluto
Richard Pinkman / Night Terror
Karen Ricci / Vamp
Tea / Doll
Nathaniel Stitch


<3+> bandits	Bloodstream	Massacred by Bloodstream (several mentioned)	
Cesare Sabino		Died from during the bombing	
Gaius Julius Caesar		Assassinated during the Roman Republic Era	
Little Jesus	Augustus	Fried alive by Augustus	
<20,000+> people	Bacchus | Narcinia Veran | Mars | Venus | Augustus	Dying each year from drug usage, 'Bliss' manufactured by Bacchus, and Narcinia Veran on orders from Mars and Venus, sold by the Augusti on orders from Augustus	
<1> Grandpa		Shanked in an alley by a druggie	
{10,000+} Ryan Romano		Died facing the same situation and making a different choice each time, prior to the story (undone via Quicksave's Power)	undone
<200+> people	Ghoul	Murdered by Ghoul (hundreds mentioned)	
{2+} Bloodstream		Clones murdered by the homeless (plural)	
<3> Costa farmers		Murdered by marauders	
Donna	Augustus	Incinerated with a lightning strike by Augustus, during the Massacre at the Costa Farm	
Piero	Augustus	Head destroyed with a lightning strike by Augustus, during the Massacre at the Costa Farm	
Bruno Costa	Augustus	Torn in half below the waist with a lightning strike by Augustus, during the Massacre at the Costa Farm	
Benny	Augustus	Skull torn off when backhanded by Augustus, during the Massacre at the Costa Farm	
Julie Costa	Augustus	Arm cut off and head crushed with his fists by Augustus, during the Massacre at the Costa Farm	
Alice	Augustus	Murdered by Augustus, during the Massacre at the Costa Farm	
Luca (farmer)	Augustus	Murdered by Augustus, during the Massacre at the Costa Farm	
<17+> Costa farmers	Augustus	Murdered by Augustus, during the Massacre at the Costa Farm (two dozens mentioned, minus named characters)	
<1> Vulcan's ferret		Ran over by a car	
Ryan Romano's father		Murdered by bandits	
Ryan Romano's mother		Murdered by bandits	
<2,000,000,000+> people	Mechron	Murdered during the Genome Wars by Mechron's robot army (millions or billions mentioned)	
<2+> Mechron's sons		Murdered by the Serbians at Srebrenica	
Asmodeus		Slain by unknown Genomes during the Genome Wars	
Mechron	Black Ultimate One | Mechron	Annihilated at the atomic level by the Black Ultimate One through the portal to the Black World he accidentally opened	
<1> Mechron's biomechanical dragon	Black Ultimate One | Mechron	Annihilated at the atomic level by the Black Ultimate One through the portal to the Black World accidentally opened by Mechron	
<6> Mechron's biomechanical brains	Black Ultimate One | Mechron	Annihilated at the atomic level by the Black Ultimate One through the portal to the Black World accidentally opened by Mechron	
Leonard Hargraves	Leonard Hargraves	Blew himself up by going supernova in order to destroy the portal to the Black World (body reconstructed via his core)	revived
Jesse	Mechron	Died fighting Mechron's robot army	
<125+> Anti-Mechron Front Genomes	Mechron	Died fighting Mechron's robot army (one in four mentioned, forces stated to be 500+ people)	
<500,000+> Mechron's robots		Destroyed by various Genomes of the Anti-Mechron Front (mentioned to outnumber the Anti-Mechron Front Genomes (stated to be 500+ people) more than one thousand to one)	
Geist	Mechron	Body turned to dust by Mechron's nanoplague (remained as a ghost via his Power)	physical
Ryan Romano		Shot by one of his maddened customers while he led a drug cartel (undone via Quicksave's Power)	undone
Alchemo	Ryan Romano	Brain vaporized with laser beams by Ryan Romano's plushie (undone via Quicksave's Power)	undone
{4} Alchemo	Ryan Romano	Died from various causes due to Ryan Romano's experiments (undone via Quicksave's Power)	undone
Ryan Romano	Ryan Romano	Sliced his own throat with a glass shard (undone via Quicksave's Power)	undone
<3+> people	Ryan Romano	Gutted and strung to trees with their own intestines by Ryan Romano's plushie (several mentioned) (undone via Quicksave's Power)	undone
Ryan Romano	Ryan Romano	Hanged himself with a rope (undone via Quicksave's Power)	undone
<1> Experimental mix of a Persian cat and a velociraptor	Alain Tyrano	Created by Alain Tyrano, did not survive the experiment	
<4> Brooklyn residents	Adam Fontaine	Murdered and cannibalized by Adam Fontaine	
<1> bronze clown	Simon	Blasted with a shotgun by Simon (undone via Quicksave's Power)	undone
<25+> Suitestown residents	Jean-Stéphanie	Murdered and devoured by the clowns, or took their own lives while trapped within Monaco by Jean-Stéphanie (half of fifty mentioned) (undone via Quicksave's Power)	undone
<19+> Suitestown residents	Jean-Stéphanie	Murdered and devoured by the clowns, or took their own lives while trapped within Monaco by Jean-Stéphanie (other half of fifty mentioned, minus named characters) (undone via Quicksave's Power)	undone
<3+> clowns	Simon	Blasted with a shotgun by Simon (several mentioned) (undone via Quicksave's Power)	undone
Simon	Jean-Stéphanie	Died of a heart attack while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
Martine	Jean-Stéphanie	Murdered and devoured by the clowns in a supply run gone wrong while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
Jean	Jean-Stéphanie	Murdered and devoured by the clowns while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
Geoff	Jean-Stéphanie	Murdered and devoured by the clowns while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
Sally	Jean-Stéphanie	Murdered and devoured by the clowns while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
Ryan Romano	Jean-Stéphanie	Died of old age while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
<2,000+> clowns	Ryan Romano	Murdered by Ryan Romano (thousands mentioned)	
<1> clown	Ryan Romano	Murdered and devoured by Ryan Romano	
<1> lamb	Ryan Romano	Sent within Monaco and nuked by Ryan Romano (undone via Quicksave's Power)	undone
<3+> puppies	Ryan Romano	Sent to their deaths within Monaco by Ryan Romano (several mentioned) (undone via Quicksave's Power)	undone
<1> gold clown	Ryan Romano	Beheaded with a katana by Ryan Romano (undone via Quicksave's Power)	undone
<5> clowns	Ryan Romano	Disemboweled with a katana by Ryan Romano (undone via Quicksave's Power)	undone
<2> clowns	Ryan Romano	Impaled with a katana by Ryan Romano (undone via Quicksave's Power)	undone
<1> clown	Ryan Romano	Stabbed in the back of the head with a thrown knife by Ryan Romano (undone via Quicksave's Power)	undone
<1> clown	Ryan Romano	Head smashed against the floor by Ryan Romano (undone via Quicksave's Power)	undone
<4+> clowns	Ryan Romano	Slaughtered with a katana by Ryan Romano (minimum counted) (undone via Quicksave's Power)	undone
Ryan Romano	Jean-Stéphanie	Neck sliced in half by a platinum clown while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
Ryan Romano	Jean-Stéphanie	Head crushed with a giant token by a clown while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
<3> clowns	Ryan Romano	Sliced with a katana by Ryan Romano (undone via Quicksave's Power)	undone
<1> clown	Ryan Romano	Legs sliced clean off by Ryan Romano and crushed with his own token (undone via Quicksave's Power)	undone
<24+> clowns	Ryan Romano	Slaughtered with a katana by Ryan Romano (dozens mentioned) (undone via Quicksave's Power)	undone
Ryan Romano	Jean-Stéphanie	Impaled on a sword by a ninja clown while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
<1> ninja clown	Ryan Romano	Slain with a katana by Ryan Romano (undone via Quicksave's Power)	undone
{4} Ryan Romano	Jean-Stéphanie	Murdered by ninja clowns multiple times while trapped within Monaco by Jean-Stéphanie (undone via Quicksave's Power)	undone
<4> ninja clowns	Ryan Romano	Murdered with a katana by Ryan Romano	
<2+> firecrackers	Ryan Romano	Murdered with a katana by Ryan Romano (plural)	
<2+> magicians	Ryan Romano	Murdered with a katana by Ryan Romano (plural)	
<2+> strongmen	Ryan Romano	Murdered with a katana by Ryan Romano (plural)	
<2+> ringmasters	Ryan Romano	Murdered with a katana by Ryan Romano (plural)	
<1> clown	Ryan Romano	Crushed under a statue of Jean-Stéphanie by Ryan Romano	
<1,000+> people	Bloodstream	Murdered by Bloodstream (four-digit body count mentioned)	
Cesare Sabino's grandmother		Died of cancer	
<1> Augusti Genome	Bloodstream	Bisected with a blood axe by Bloodstream	
Ace	Bloodstream	Impaled through the throat with a blood projectile and DNA overwritten by Bloodstream (undone via Quicksave's Power)	undone
Ryan Romano	Bloodstream	Head slammed against the pavement by Bloodstream (undone via Quicksave's Power)	undone
{100+} Ryan Romano	Ryan Romano	Took his own life multiple times to try and catch up to Len (undone via Quicksave's Power)	undone
{100+} Bloodstream	Leonard Hargraves | Mr. Wave | Ryan Romano	Incinerated by Leonard Hargraves after being incapacitated by Mr. Wave, Carnival led to him by Ryan Romano (undone via Quicksave's Power)	undone
